Jahr;Ges;Name;Number;Time;Time_Chip ;Place;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2010;M;藤原 正和;102;2:12:19;2:12:16;1;0:15:15;0:30:26;0:45:51;1:01:43;1:05:15;1:17:42;1:33:38;1:49:15;2:05:39;2:12:19
2010;M;藤原 新;12;2:12:34;2:12:32;2;0:15:13;0:30:25;0:45:52;1:01:43;1:05:16;1:17:43;1:33:38;1:49:14;2:05:40;2:12:34
2010;M;佐藤 敦之;11;2:12:35;2:12:31;3;0:15:12;0:30:25;0:45:50;1:01:42;1:05:14;1:17:42;1:33:37;1:49:14;2:05:40;2:12:35
2010;M;川内 優輝;117;2:12:36;2:12:33;4;0:15:13;0:30:26;0:45:51;1:01:44;1:05:15;1:17:42;1:33:38;1:49:15;2:05:40;2:12:36
2010;M;足立 知弥;18;2:12:46;2:12:44;5;0:15:13;0:30:26;0:45:51;1:01:43;1:05:15;1:17:43;1:33:38;1:49:15;2:05:40;2:12:46
2010;M;ジョセフ・ムワニキ;146;2:12:53;2:12:50;6;0:15:14;0:30:27;0:45:52;1:01:45;1:05:16;1:17:42;1:33:38;1:49:14;2:05:39;2:12:53
2010;M;ラシド・キスリ;1;2:12:59;2:12:57;7;0:15:11;0:30:24;0:45:49;1:01:41;1:05:13;1:17:41;1:33:38;1:49:18;2:05:40;2:12:59
2010;M;幸田 高明;143;2:13:04;2:13:02;8;0:15:12;0:30:25;0:45:50;1:01:42;1:05:14;1:17:42;1:33:38;1:49:14;2:05:40;2:13:04
2010;M;サリム・キプサング;3;2:13:16;2:13:14;9;0:15:12;0:30:24;0:45:50;1:01:42;1:05:14;1:17:41;1:33:37;1:49:14;2:05:39;2:13:16
2010;M;長谷川 清勝;149;2:15:15;2:15:12;10;0:15:15;0:30:26;0:45:51;1:01:44;1:05:17;1:17:43;1:33:39;1:49:40;2:07:12;2:15:15
2010;W;アレフティナ・ビクティミロワ;21;2:34:39;2:34:38;1;0:17:34;0:34:56;0:52:04;1:09:30;1:13:25;1:27:24;1:45:43;2:04:46;2:25:17;2:34:39
2010;W;ロベ・グタ;22;2:36:29;2:36:27;2;0:17:35;0:34:58;0:52:22;1:10:03;1:14:05;1:28:43;1:48:25;2:07:41;2:27:49;2:36:29
2010;W;ヌタ・オラル;24;2:36:42;2:36:39;3;0:17:37;0:35:00;0:52:31;1:10:32;1:14:40;1:29:23;1:48:25;2:07:57;2:28:05;2:36:42
2010;W;河野 真己;203;2:39:01;2:38:59;4;0:18:19;0:36:45;0:55:11;1:13:49;1:17:55;1:32:36;1:51:37;2:10:41;2:30:17;2:39:01
2010;W;ジン・ヤン;25;2:41:04;2:41:03;5;0:18:10;0:36:23;0:54:43;1:13:04;1:17:12;1:31:52;1:50:16;2:09:19;2:30:49;2:41:04
2010;W;佐藤 由美;233;2:43:01;2:42:58;6;0:17:37;0:35:05;0:52:57;1:11:28;1:15:42;1:30:49;1:51:16;2:12:27;2:33:35;2:43:01
2010;W;花堂 若菜;210;2:44:03;2:43:59;7;0:18:31;0:36:54;0:55:31;1:14:46;1:19:01;1:34:15;1:53:54;2:14:03;2:34:39;2:44:03
2010;W;ジュリア・モンビ;23;2:45:11;2:45:09;8;0:17:34;0:34:58;0:52:22;1:10:03;1:14:06;1:28:44;1:48:38;2:10:29;2:34:30;2:45:11
2010;W;加瀬沢 好美;219;2:47:03;2:47:00;9;0:19:25;0:39:08;0:59:02;1:19:01;1:23:27;1:39:12;1:59:23;2:19:10;2:38:38;2:47:03
2010;W;平尾 紀子;207;2:47:32;2:47:30;10;0:19:03;0:37:52;0:56:59;1:16:45;1:21:10;1:36:56;1:57:13;2:17:40;2:38:19;2:47:32
